start_date,pollster,politician,tot_favorable
2019-10-20,YouGov,Tulsi Gabbard,54.0
2019-10-20,YouGov,Amy Klobuchar,58.0
2019-10-20,YouGov,Tom Steyer,40.0
2019-10-20,YouGov,Andrew Yang,62.0
2019-10-20,YouGov,Elizabeth Warren,88.0
2019-10-20,YouGov,Bernie Sanders,84.0
2019-10-20,YouGov,Donald Trump,86.0
2019-10-20,YouGov,Joe Biden,84.0
2019-10-18,Morning Consult,Donald Trump,41.0
2019-10-17,CNN/SSRS,Pete Buttigieg,31.0
2019-10-17,CNN/SSRS,Amy Klobuchar,23.0
2019-10-17,CNN/SSRS,Bernie Sanders,49.0
2019-10-17,CNN/SSRS,Joe Biden,47.0
2019-10-17,CNN/SSRS,Elizabeth Warren,40.0
2019-10-17,CNN/SSRS,Donald Trump,44.0
2019-10-17,HarrisX,Pete Buttigieg,64.0
2019-10-17,HarrisX,Andrew Yang,56.0
2019-10-17,HarrisX,Amy Klobuchar,50.0
2019-10-17,HarrisX,Tom Steyer,38.0
2019-10-17,HarrisX,Tulsi Gabbard,42.0
2019-10-17,HarrisX,Bernie Sanders,90.0
2019-10-17,HarrisX,Elizabeth Warren,80.0
2019-10-17,HarrisX,Joe Biden,94.0
2019-10-16,HarrisX,Pete Buttigieg,62.0
2019-10-16,HarrisX,Andrew Yang,58.0
2019-10-16,HarrisX,Amy Klobuchar,48.0
2019-10-16,HarrisX,Tom Steyer,44.0
2019-10-16,HarrisX,Tulsi Gabbard,40.0
2019-10-16,HarrisX,Bernie Sanders,92.0
2019-10-16,HarrisX,Joe Biden,96.0
2019-10-16,HarrisX,Elizabeth Warren,78.0
2019-10-13,YouGov,Elizabeth Warren,96.0
2019-10-13,YouGov,Michael Bennet,40.0
2019-10-13,YouGov,Pete Buttigieg,78.0
2019-10-13,YouGov,John Delaney,36.0
2019-10-13,YouGov,Tulsi Gabbard,56.0
2019-10-13,YouGov,Amy Klobuchar,66.0
2019-10-13,YouGov,Tom Steyer,44.0
2019-10-13,YouGov,Andrew Yang,72.0
2019-10-13,YouGov,Bernie Sanders,92.0
2019-10-13,YouGov,Joe Biden,94.0
2019-10-13,YouGov,Donald Trump,84.0
2019-10-12,HarrisX,Elizabeth Warren,80.0
2019-10-12,HarrisX,Bernie Sanders,90.0
2019-10-12,HarrisX,Pete Buttigieg,58.0
2019-10-12,HarrisX,Andrew Yang,52.0
2019-10-12,HarrisX,Amy Klobuchar,46.0
2019-10-12,HarrisX,Tom Steyer,36.0
2019-10-12,HarrisX,Tulsi Gabbard,40.0
2019-10-12,HarrisX,Joe Biden,94.0
2019-10-11,Quinnipiac University,Elizabeth Warren,36.0
2019-10-11,Quinnipiac University,Joe Biden,41.0
2019-10-11,Quinnipiac University,Bernie Sanders,39.0
2019-10-11,Morning Consult,Donald Trump,40.0
2019-10-11,Quinnipiac University,Donald Trump,39.0
2019-10-06,Fox News,Elizabeth Warren,92.0
2019-10-06,Fox News,Bernie Sanders,102.0
2019-10-06,YouGov,Michael Bennet,32.0
2019-10-06,YouGov,Pete Buttigieg,72.0
2019-10-06,YouGov,John Delaney,30.0
2019-10-06,YouGov,Tulsi Gabbard,48.0
2019-10-06,YouGov,Amy Klobuchar,54.0
2019-10-06,YouGov,Tom Steyer,32.0
2019-10-06,YouGov,Andrew Yang,68.0
2019-10-06,YouGov,Elizabeth Warren,92.0
2019-10-06,Fox News,Pete Buttigieg,68.0
2019-10-06,Fox News,Andrew Yang,60.0
2019-10-06,Fox News,Joe Biden,99.0
2019-10-06,YouGov,Bernie Sanders,88.0
2019-10-03,Marist College,Joe Biden,42.0
2019-10-06,YouGov,Donald Trump,92.0
2019-10-06,Fox News,Donald Trump,86.0
2019-10-07,Morning Consult,Donald Trump,41.0
2019-10-06,YouGov,Joe Biden,84.0
2019-09-28,YouGov,Elizabeth Warren,94.0
2019-09-28,YouGov,Michael Bennet,40.0
2019-09-28,YouGov,Pete Buttigieg,76.0
2019-09-28,YouGov,John Delaney,32.0
2019-09-28,YouGov,Tulsi Gabbard,48.0
2019-09-28,YouGov,Amy Klobuchar,62.0
2019-09-28,YouGov,Tom Steyer,38.0
2019-09-28,YouGov,Andrew Yang,70.0
2019-09-28,YouGov,Donald Trump,86.0
2019-09-28,YouGov,Joe Biden,84.0
2019-09-28,YouGov,Bernie Sanders,82.0
2019-09-27,Morning Consult,Michael Bennet,20.0
2019-09-26,YouGov,Pete Buttigieg,68.0
2019-09-27,Morning Consult,John Delaney,18.0
2019-09-27,Morning Consult,Tulsi Gabbard,26.0
2019-09-27,Morning Consult,Amy Klobuchar,34.0
2019-09-27,Morning Consult,Tom Steyer,22.0
2019-09-27,Morning Consult,Andrew Yang,40.0
2019-09-26,YouGov,Amy Klobuchar,53.4
2019-09-26,YouGov,Tom Steyer,37.2
2019-09-26,YouGov,Tulsi Gabbard,55.4
2019-09-26,YouGov,Andrew Yang,66.6
2019-09-27,Morning Consult,Pete Buttigieg,48.0
2019-09-26,YouGov,Michael Bloomberg,50.6
2019-09-27,Morning Consult,Elizabeth Warren,72.0
2019-09-27,Morning Consult,Bernie Sanders,86.0
2019-09-26,YouGov,Elizabeth Warren,83.0
2019-09-27,Morning Consult,Joe Biden,92.0
2019-09-26,YouGov,Bernie Sanders,90.6
2019-09-26,YouGov,Donald Trump,88.4
2019-09-27,Morning Consult,Donald Trump,40.0
2019-09-26,YouGov,Joe Biden,84.4
2019-09-23,Monmouth University,Elizabeth Warren,84.0
2019-09-23,Monmouth University,Pete Buttigieg,60.0
2019-09-23,Monmouth University,Joe Biden,92.0
2019-09-23,Monmouth University,Bernie Sanders,84.0
2019-09-23,Monmouth University,Donald Trump,86.0
2019-09-22,YouGov,Elizabeth Warren,96.0
2019-09-22,Harris Poll,Bernie Sanders,96.0
2019-09-22,YouGov,Michael Bennet,34.0
2019-09-22,YouGov,Pete Buttigieg,72.0
2019-09-22,YouGov,John Delaney,32.0
2019-09-22,YouGov,Tulsi Gabbard,50.0
2019-09-22,YouGov,Amy Klobuchar,54.0
2019-09-22,YouGov,Tom Steyer,36.0
2019-09-22,YouGov,Andrew Yang,66.0
2019-09-22,Harris Poll,Pete Buttigieg,64.0
2019-09-22,Harris Poll,Elizabeth Warren,80.0
2019-09-22,YouGov,Bernie Sanders,94.0
2019-09-22,Harris Poll,Joe Biden,95.0
2019-09-22,YouGov,Joe Biden,90.0
2019-09-22,YouGov,Donald Trump,88.0
2019-09-22,Harris Poll,Donald Trump,81.0
2019-09-19,Quinnipiac University,Amy Klobuchar,20.0
2019-09-19,Quinnipiac University,Pete Buttigieg,28.0
2019-09-19,Quinnipiac University,Andrew Yang,20.0
2019-09-19,Quinnipiac University,Tom Steyer,7.0
2019-09-19,Quinnipiac University,Elizabeth Warren,39.0
2019-09-19,Quinnipiac University,Joe Biden,45.0
2019-09-19,Quinnipiac University,Donald Trump,38.0
2019-09-19,Quinnipiac University,Bernie Sanders,40.0
2019-09-20,Morning Consult,Donald Trump,42.0
2019-09-14,YouGov,Michael Bennet,34.0
2019-09-14,YouGov,Pete Buttigieg,76.0
2019-09-14,YouGov,John Delaney,30.0
2019-09-14,YouGov,Tulsi Gabbard,52.0
2019-09-14,YouGov,Amy Klobuchar,62.0
2019-09-14,YouGov,Tom Steyer,38.0
2019-09-14,YouGov,Elizabeth Warren,90.0
2019-09-14,YouGov,Andrew Yang,64.0
2019-09-14,YouGov,Joe Biden,88.0
2019-09-14,YouGov,Donald Trump,88.0
2019-09-14,YouGov,Bernie Sanders,86.0
2019-09-14,HarrisX,Elizabeth Warren,80.0
2019-09-14,HarrisX,Joe Biden,102.0
2019-09-14,HarrisX,Bernie Sanders,92.0
2019-09-14,HarrisX,Pete Buttigieg,62.0
2019-09-14,HarrisX,Amy Klobuchar,46.0
2019-09-14,HarrisX,Andrew Yang,50.0
2019-09-13,NBC News/Wall Street Journal,Donald Trump,82.0
2019-09-13,Morning Consult,Donald Trump,41.0
2019-09-10,HarrisX,Bernie Sanders,92.0
2019-09-10,HarrisX,Elizabeth Warren,76.0
2019-09-10,HarrisX,Joe Biden,94.0
2019-09-10,HarrisX,Pete Buttigieg,58.0
2019-09-10,HarrisX,Amy Klobuchar,52.0
2019-09-10,HarrisX,Andrew Yang,50.0
2019-09-08,YouGov,Elizabeth Warren,94.0
2019-09-08,YouGov,Michael Bennet,38.0
2019-09-08,YouGov,Pete Buttigieg,74.0
2019-09-08,YouGov,John Delaney,34.0
2019-09-08,YouGov,Tulsi Gabbard,48.0
2019-09-08,YouGov,Amy Klobuchar,56.0
2019-09-08,YouGov,Tom Steyer,38.0
2019-09-08,YouGov,Andrew Yang,66.0
2019-09-08,YouGov,Donald Trump,84.0
2019-09-08,YouGov,Joe Biden,88.0
2019-09-08,YouGov,Bernie Sanders,86.0
2019-09-05,Marist College,Elizabeth Warren,41.0
2019-09-05,Marist College,Joe Biden,45.0
2019-09-07,Morning Consult,Donald Trump,42.0
2019-09-05,Marist College,Bernie Sanders,38.0
2019-09-02,ABC News/Washington Post,Elizabeth Warren,90.0
2019-09-02,ABC News/Washington Post,Bernie Sanders,98.0
2019-09-02,ABC News/Washington Post,Joe Biden,107.0
2019-09-02,ABC News/Washington Post,Pete Buttigieg,74.0
2019-09-02,ABC News/Washington Post,Donald Trump,81.0
2019-09-01,YouGov,Elizabeth Warren,88.0
2019-09-01,YouGov,Michael Bennet,34.0
2019-09-01,YouGov,Pete Buttigieg,64.0
2019-09-01,YouGov,John Delaney,32.0
2019-09-01,YouGov,Tulsi Gabbard,48.0
2019-09-01,YouGov,Amy Klobuchar,46.0
2019-09-01,YouGov,Tom Steyer,28.0
2019-09-01,YouGov,Andrew Yang,60.0
2019-09-01,YouGov,Donald Trump,92.0
2019-09-01,YouGov,Bernie Sanders,84.0
2019-09-01,YouGov,Joe Biden,84.0
2019-08-26,Harris Poll,Bernie Sanders,94.0
2019-08-26,Harris Poll,Joe Biden,96.0
2019-08-26,Harris Poll,Pete Buttigieg,58.0
2019-08-26,Harris Poll,Elizabeth Warren,74.0
2019-08-26,Harris Poll,Donald Trump,84.0
2019-08-24,YouGov,Elizabeth Warren,88.0
2019-08-24,YouGov,Michael Bennet,34.0
2019-08-24,YouGov,Pete Buttigieg,74.0
2019-08-24,YouGov,John Delaney,28.0
2019-08-24,YouGov,Tulsi Gabbard,54.0
2019-08-24,YouGov,Amy Klobuchar,58.0
2019-08-24,YouGov,Tom Steyer,34.0
2019-08-24,YouGov,Andrew Yang,60.0
2019-08-24,YouGov,Bernie Sanders,92.0
2019-08-24,YouGov,Joe Biden,92.0
2019-08-24,YouGov,Donald Trump,88.0
2019-08-20,Suffolk University,Donald Trump,41.0
2019-08-23,Morning Consult,Donald Trump,41.0
2019-08-17,YouGov,Elizabeth Warren,90.0
2019-08-17,YouGov,Michael Bennet,36.0
2019-08-17,YouGov,Pete Buttigieg,70.0
2019-08-17,YouGov,John Delaney,30.0
2019-08-17,YouGov,Tulsi Gabbard,48.0
2019-08-17,YouGov,Amy Klobuchar,52.0
2019-08-17,YouGov,Tom Steyer,36.0
2019-08-17,YouGov,Andrew Yang,58.0
2019-08-17,YouGov,Bernie Sanders,88.0
2019-08-17,YouGov,Donald Trump,88.0
2019-08-17,YouGov,Joe Biden,84.0
2019-08-16,Morning Consult,Donald Trump,42.0
2019-08-14,HarrisX,Bernie Sanders,88.0
2019-08-14,HarrisX,Joe Biden,94.0
2019-08-14,HarrisX,Pete Buttigieg,56.0
2019-08-14,HarrisX,Michael Bennet,32.0
2019-08-14,HarrisX,Andrew Yang,50.0
2019-08-14,HarrisX,Tom Steyer,30.0
2019-08-13,HarrisX,Elizabeth Warren,76.0
2019-08-13,HarrisX,Tulsi Gabbard,38.0
2019-08-13,HarrisX,John Delaney,36.0
2019-08-13,HarrisX,Amy Klobuchar,44.0
2019-08-11,Fox News,Elizabeth Warren,93.0
2019-08-11,Fox News,Bernie Sanders,99.0
2019-08-10,YouGov,Elizabeth Warren,86.0
2019-08-11,Fox News,Joe Biden,100.0
2019-08-10,YouGov,Michael Bennet,40.0
2019-08-10,YouGov,Pete Buttigieg,74.0
2019-08-10,YouGov,John Delaney,36.0
2019-08-10,YouGov,Tulsi Gabbard,52.0
2019-08-10,YouGov,Amy Klobuchar,54.0
2019-08-10,YouGov,Tom Steyer,38.0
2019-08-10,YouGov,Andrew Yang,64.0
2019-08-10,YouGov,Donald Trump,86.0
2019-08-11,Fox News,Donald Trump,83.0
2019-08-10,YouGov,Bernie Sanders,84.0
2019-08-10,YouGov,Joe Biden,84.0
2019-08-09,Morning Consult,Donald Trump,41.0
2019-08-05,Morning Consult,Donald Trump,40.0
2019-08-03,YouGov,Elizabeth Warren,86.0
2019-08-03,YouGov,Michael Bennet,38.0
2019-08-03,YouGov,Pete Buttigieg,72.0
2019-08-03,YouGov,John Delaney,30.0
2019-08-03,YouGov,Tulsi Gabbard,52.0
2019-08-03,YouGov,Amy Klobuchar,54.0
2019-08-03,YouGov,Tom Steyer,36.0
2019-08-03,YouGov,Andrew Yang,60.0
2019-08-03,YouGov,Joe Biden,88.0
2019-08-03,YouGov,Donald Trump,88.0
2019-08-03,YouGov,Bernie Sanders,82.0
2019-08-01,Morning Consult,Donald Trump,44.0
2019-07-31,Harris Poll,Joe Biden,96.0
2019-07-31,Harris Poll,Bernie Sanders,89.0
2019-07-31,Harris Poll,Pete Buttigieg,54.0
2019-07-31,Harris Poll,Elizabeth Warren,74.0
2019-07-31,Harris Poll,Donald Trump,79.0
2019-07-27,YouGov,Elizabeth Warren,94.0
2019-07-27,YouGov,Michael Bennet,38.0
2019-07-27,YouGov,Pete Buttigieg,78.0
2019-07-27,YouGov,John Delaney,28.0
2019-07-27,YouGov,Tulsi Gabbard,44.0
2019-07-27,YouGov,Amy Klobuchar,58.0
2019-07-27,YouGov,Tom Steyer,38.0
2019-07-27,YouGov,Andrew Yang,54.0
2019-07-27,YouGov,Joe Biden,96.0
2019-07-27,YouGov,Bernie Sanders,88.0
2019-07-27,YouGov,Donald Trump,84.0
2019-07-28,HarrisX,Joe Biden,100.0
2019-07-28,HarrisX,Bernie Sanders,86.0
2019-07-28,HarrisX,Pete Buttigieg,54.0
2019-07-28,HarrisX,Michael Bennet,32.0
2019-07-28,HarrisX,Andrew Yang,44.0
2019-07-28,HarrisX,Tom Steyer,36.0
2019-07-27,HarrisX,Elizabeth Warren,80.0
2019-07-27,HarrisX,Tulsi Gabbard,38.0
2019-07-27,HarrisX,John Delaney,36.0
2019-07-27,HarrisX,Amy Klobuchar,48.0
2019-07-25,Morning Consult,Donald Trump,42.0
2019-07-25,Morning Consult,Donald Trump,40.0
2019-07-21,YouGov,Elizabeth Warren,86.0
2019-07-21,YouGov,Michael Bennet,34.0
2019-07-21,YouGov,Pete Buttigieg,66.0
2019-07-21,YouGov,John Delaney,30.0
2019-07-21,YouGov,Tulsi Gabbard,46.0
2019-07-21,YouGov,Amy Klobuchar,58.0
2019-07-21,YouGov,Tom Steyer,38.0
2019-07-21,YouGov,Andrew Yang,50.0
2019-07-21,Fox News,Donald Trump,90.0
2019-07-21,YouGov,Donald Trump,88.0
2019-07-21,YouGov,Joe Biden,84.0
2019-07-21,YouGov,Bernie Sanders,82.0
2019-07-19,Morning Consult,Bernie Sanders,44.0
2019-07-19,Morning Consult,Joe Biden,45.0
2019-07-19,Morning Consult,Elizabeth Warren,32.0
2019-07-19,Morning Consult,Donald Trump,39.0
2019-07-14,YouGov,Elizabeth Warren,88.0
2019-07-14,YouGov,Michael Bennet,38.0
2019-07-14,YouGov,Pete Buttigieg,72.0
2019-07-14,YouGov,John Delaney,34.0
2019-07-14,YouGov,Tulsi Gabbard,48.0
2019-07-14,YouGov,Amy Klobuchar,62.0
2019-07-14,YouGov,Tom Steyer,36.0
2019-07-14,YouGov,Andrew Yang,54.0
2019-07-14,YouGov,Donald Trump,92.0
2019-07-14,YouGov,Joe Biden,92.0
2019-07-14,YouGov,Bernie Sanders,86.0
2019-07-12,Morning Consult,Tom Steyer,11.0
2019-07-12,Morning Consult,Donald Trump,40.0
2019-07-07,YouGov,Elizabeth Warren,90.0
2019-07-07,YouGov,Michael Bennet,36.0
2019-07-07,YouGov,Pete Buttigieg,72.0
2019-07-07,YouGov,John Delaney,28.0
2019-07-07,YouGov,Tulsi Gabbard,44.0
2019-07-07,YouGov,Amy Klobuchar,56.0
2019-07-07,YouGov,Andrew Yang,42.0
2019-07-07,YouGov,Donald Trump,88.0
2019-07-07,YouGov,Joe Biden,88.0
2019-07-07,YouGov,Bernie Sanders,84.0
2019-06-30,YouGov,Elizabeth Warren,90.0
2019-06-30,YouGov,Michael Bennet,34.0
2019-06-30,YouGov,Pete Buttigieg,74.0
2019-06-30,YouGov,John Delaney,32.0
2019-06-30,YouGov,Tulsi Gabbard,48.0
2019-06-30,YouGov,Amy Klobuchar,62.0
2019-06-30,YouGov,Andrew Yang,48.0
2019-06-30,YouGov,Donald Trump,88.0
2019-06-30,YouGov,Joe Biden,88.0
2019-06-30,YouGov,Bernie Sanders,84.0
2019-06-29,Morning Consult,Bernie Sanders,84.0
2019-06-30,HarrisX,Bernie Sanders,88.0
2019-06-29,Morning Consult,Joe Biden,84.0
2019-06-30,HarrisX,Joe Biden,90.0
2019-06-30,HarrisX,Pete Buttigieg,52.0
2019-06-30,HarrisX,Michael Bennet,28.0
2019-06-30,HarrisX,Andrew Yang,38.0
2019-06-29,Morning Consult,Michael Bennet,16.0
2019-06-29,Morning Consult,Pete Buttigieg,44.0
2019-06-29,Morning Consult,John Delaney,12.0
2019-06-29,Morning Consult,Tulsi Gabbard,30.0
2019-06-29,Morning Consult,Amy Klobuchar,32.0
